Nom,Catégorie,Quantité,Prix,Qté Min
"OIGNONS FRITS 500G METRO CHEF","Autres",1,3.86,0
"TOPPING CARAM BEUR SALE 1.2KG","Sucré",1,9.33,0
"SAUCE FROMAG CHEDDAR 1KG MC","Autres",2,7.14,0
"BRIOCHE TRESSEE MGV 600G ARO","Autres",5,2.19,0
"BAC VANILLE 5L ECO","Sucré",1,8.83,0
"ZIGGY FRIES 2.5KG LAMBWESTON","Surgelé",1,6.77,0
"TWISTER AVEC PEAU 2.5KG","Surgelé",1,8.15,0
"COULIS FRAMBOISES 500G","Surgelé",1,6.27,0
"POP DE PLT CRUNCHY HALAL 1KG","Surgelé",2,11.21,0
"AIGUILETTE PLT GRAINES HALA 1KG","Surgelé",2,11.72,0
"FILET PLT JAPAN STYLE 960G HAL","Surgelé",1,11.06,0
"FRAMBOISE 125G PTPORTUGAL","Frais",1,1.99,0
"AVO PRE MURI PC9 PEROU","Frais",9,1.49,0

